Model Name,Model Path,Accuracy,Precision,Recall,F1 Score
Random Forest,/content/drive/MyDrive/work2/Final/Image_Models/Video_Model_2_random_forest_model.pkl,0.6431226765799256,0.6445680496159856,0.6431226765799256,0.6430942005546894
MobileNetV2,/content/drive/MyDrive/work2/Final/Image_Models/Video_Model_1_CNN_with_MobileNetV2.h5,0.6536312849162011,0.6529227162734422,0.6536312849162011,0.6520663412719975
LSTM,/content/drive/MyDrive/work2/Final/Old_audio_models/Audio_Model_1_LSTM.h5,0.5294117647058824,0.5891544117647058,0.5294117647058824,0.3973589435774309
Audio Sentiment RF,/content/drive/MyDrive/work2/Final/Audio_Models/Audio_Model_2_RandomForest.joblib,0.5217391304347826,0.5579710144927535,0.5217391304347826,0.4452013624524144
BERT Multilingual,/content/drive/MyDrive/work2/Final/Text_Work/Text_model_1_BERT_Model,0.990990990990991,0.9911602856808336,0.9908675799086758,0.9909209821612492
BOW Logistic Regression,/content/drive/MyDrive/work2/Final/Text_Work/Text_Models_2_and_3/Text_model_2_logistic_regression_bow.pkl,0.9864864864864865,0.9867042245773591,0.9864864864864865,0.9864998794377324
